iter	MultiClass
310	1.176992767
311	1.176401098
312	1.175914904
313	1.175300099
314	1.174807149
315	1.174057659
316	1.17341914
317	1.17283407
318	1.172241338
319	1.1717748
320	1.171144386
321	1.170704002
322	1.169979451
323	1.169501063
324	1.168990484
325	1.168477268
326	1.167878142
327	1.167323546
328	1.16682105
329	1.16638206
330	1.166016818
331	1.165578946
332	1.165126199
333	1.164546876
334	1.164021818
335	1.163568867
336	1.163102219
337	1.16269645
338	1.162116515
339	1.161621078
340	1.161045591
341	1.160597633
342	1.160120957
343	1.159666283
344	1.159259766
345	1.158792616
346	1.158254469
347	1.15768281
348	1.157311817
349	1.156869179
350	1.156458742
351	1.155840088
352	1.155245293
353	1.154767217
354	1.154272949
355	1.15375213
356	1.1534882
357	1.153060078
358	1.152545855
359	1.15215108
360	1.151748446
361	1.151137623
362	1.150842076
363	1.150241743
364	1.14973984
365	1.149284658
366	1.148869145
367	1.148569372
368	1.148123418
369	1.147582233
370	1.147266261
371	1.146975838
372	1.146449102
373	1.146049921
374	1.145680827
375	1.145293092
376	1.14493973
377	1.144484618
378	1.144013558
379	1.143564019
380	1.143165419
381	1.142759951
382	1.142412541
383	1.142150974
384	1.141856929
385	1.141470476
386	1.141076161
387	1.140690763
388	1.140219442
389	1.139878717
390	1.139576421
391	1.139075411
392	1.138599941
393	1.138189259
394	1.137845025
395	1.137507745
396	1.137188976
397	1.136795099
398	1.136374093
399	1.135910694
400	1.13544284
401	1.135093231
402	1.13477541
403	1.134396397
404	1.134011736
405	1.133685814
406	1.133302279
407	1.132955872
408	1.132731887
409	1.132327124
410	1.131917576
411	1.131607659
412	1.131171115
413	1.130807745
414	1.130406644
415	1.130057094
416	1.129723657
417	1.12930932
418	1.128906751
419	1.128463676
420	1.128071964
421	1.127712067
422	1.127352737
423	1.127017832
424	1.126633389
425	1.126320216
426	1.126027068
427	1.125779216
428	1.125402734
429	1.124967959
430	1.124557924
431	1.12416553
432	1.123776867
433	1.123437817
434	1.123183156
435	1.122781672
436	1.122291052
437	1.121885385
438	1.121483104
439	1.121212408
440	1.12083643
441	1.12051281
442	1.120223259
443	1.119875697
444	1.119684149
445	1.119390659
446	1.118972789
447	1.118474702
448	1.118237898
449	1.1178678
450	1.1173589
451	1.116922333
452	1.116414609
453	1.116140476
454	1.115843209
455	1.115494423
456	1.115055409
457	1.11466549
458	1.114245171
459	1.113884886
460	1.113424004
461	1.113013588
462	1.112617544
463	1.112324201
464	1.112018987
465	1.111753339
466	1.111457075
467	1.111031848
468	1.110847204
469	1.110510167
470	1.110218559
471	1.109997761
472	1.109666877
473	1.109276697
474	1.108900686
475	1.108601988
476	1.108231806
477	1.107930391
478	1.107660561
479	1.107363502
480	1.107116631
481	1.10686906
482	1.106659755
483	1.106324315
484	1.105898004
485	1.105629772
486	1.105204803
487	1.104932269
488	1.104597356
489	1.104236946
490	1.103801748
491	1.103512788
492	1.103150608
493	1.102948613
494	1.102496841
495	1.102195616
496	1.101936321
497	1.101455845
498	1.101190511
499	1.100884873
500	1.100610609
501	1.100340826
502	1.100077487
503	1.09986002
504	1.099562232
505	1.09933845
506	1.099045835
507	1.098832221
508	1.098609342
509	1.09819865
510	1.097798254
511	1.097607298
512	1.097231454
513	1.09691557
514	1.096659694
515	1.096296781
516	1.096063547
517	1.095752248
518	1.095568955
519	1.095269014
520	1.095069272
521	1.09495415
522	1.094561172
523	1.094169012
524	1.093827917
525	1.093439776
526	1.093217269
527	1.092990395
528	1.092711348
529	1.092401664
530	1.092103556
531	1.091848765
532	1.091536561
533	1.091144606
534	1.090849968
535	1.09062757
536	1.090291723
537	1.090056625
538	1.089820075
539	1.089439142
540	1.08907911
541	1.088749713
542	1.088320669
543	1.088026569
544	1.087805157
545	1.087510137
546	1.087229557
547	1.086968598
548	1.086606587
549	1.086270295
550	1.085874056
551	1.085549707
552	1.085247036
553	1.085022721
554	1.08465757
555	1.084429457
556	1.084144582
557	1.083782217
558	1.083568107
559	1.083320818
560	1.08314223
561	1.082836182
562	1.082543183
563	1.082246519
564	1.082079996
565	1.081819408
566	1.081643337
567	1.081296059
568	1.081082249
569	1.080806159
570	1.080536346
571	1.080252113
572	1.079915966
573	1.079708204
574	1.079495485
575	1.07922764
576	1.078959556
577	1.078752137
578	1.07850845
579	1.078248641
580	1.077945611
581	1.07779207
582	1.077526841
583	1.077320299
584	1.077018879
585	1.076791491
586	1.076548789
587	1.076344119
588	1.075993654
589	1.075798103
590	1.075573497
591	1.07527249
592	1.075085154
593	1.074854321
594	1.074480636
595	1.074199119
596	1.073997402
597	1.073744587
598	1.073445427
599	1.073167767
600	1.07296266
601	1.072590983
602	1.072268394
603	1.071994645
604	1.071702094
605	1.071452657
606	1.071165824
607	1.070866512
608	1.070637809
609	1.070260354
610	1.069857073
611	1.069582748
612	1.069181166
613	1.068800028
614	1.068658658
615	1.068446153
616	1.067982956
617	1.067675385
618	1.067387087
619	1.0671009
620	1.066815467
621	1.066525165
622	1.066309833
623	1.066042116
624	1.065778501
625	1.065569261
626	1.065228023
627	1.065041945
628	1.064809181
629	1.064570257
630	1.064288111
631	1.06413109
632	1.063843806
633	1.063624262
634	1.063308764
635	1.063074995
636	1.062839759
637	1.062592885
638	1.062334887
639	1.062104297
640	1.061905942
641	1.061678976
642	1.061342141
643	1.060991471
644	1.06068406
645	1.060466261
646	1.060297215
647	1.060057772
648	1.059816413
649	1.059648169
650	1.059387741
651	1.059077336
652	1.058837272
653	1.058605697
654	1.058352821
655	1.058037226
656	1.057784154
657	1.057599704
658	1.057379628
659	1.057127953
660	1.056897198
661	1.056693667
662	1.05642844
663	1.056219993
664	1.0559099
665	1.055655909
666	1.055385754
667	1.055163753
668	1.054868994
669	1.054600941
670	1.054430792
671	1.054197308
672	1.053912533
673	1.053637879
674	1.053346629
675	1.053175716
676	1.052909532
677	1.05268526
678	1.052428603
679	1.052189021
680	1.051855933
681	1.05159077
682	1.051325427
683	1.051064797
684	1.050882793
685	1.050704016
686	1.05041316
687	1.050145541
688	1.049911891
689	1.049739038
690	1.049509813
691	1.049135803
692	1.048895491
693	1.048669774
694	1.04844569
695	1.048323715
696	1.048175165
697	1.04793228
698	1.047742411
699	1.047444583
700	1.047219775
701	1.047083567
702	1.046860247
703	1.046544408
704	1.046209251
705	1.046027733
706	1.045714738
707	1.045607558
708	1.045423906
709	1.04524854
710	1.044984947
711	1.044612193
712	1.044368102
713	1.044165048
714	1.043950159
715	1.043724651
716	1.04352456
717	1.04336114
718	1.043219352
719	1.04296945
720	1.042764076
721	1.04257384
722	1.042383759
723	1.04216414
724	1.041961321
725	1.041698293
726	1.041563998
727	1.041319676
728	1.041112938
729	1.040818322
730	1.040601646
731	1.040219827
732	1.039965918
733	1.039769845
734	1.039570046
735	1.03937228
736	1.039127367
737	1.038730709
738	1.038434335
739	1.038192888
740	1.037953253
741	1.037648318
742	1.037422454
743	1.037180965
744	1.036910277
745	1.036666812
746	1.036396788
747	1.036143429
748	1.03584403
749	1.035629543
750	1.035416679
751	1.0352604
752	1.035056036
753	1.034811089
754	1.034606724
755	1.034446287
756	1.034172735
757	1.033963016
758	1.033728745
759	1.033461468
760	1.03318816
761	1.0329978
762	1.032799122
763	1.032660428
764	1.032449073
765	1.032253448
766	1.031967053
767	1.031767951
768	1.031525243
769	1.031288288
770	1.03106019
771	1.030744857
772	1.03048447
773	1.030345497
774	1.030201004
775	1.029880252
776	1.029707715
777	1.029528992
778	1.029373695
779	1.029106395
780	1.028857131
781	1.028647936
782	1.028492653
783	1.028172929
784	1.028038893
785	1.027883165
786	1.027642233
787	1.027500457
788	1.027217491
789	1.026989741
790	1.02675874
791	1.026513656
792	1.026312582
793	1.026167761
794	1.025959623
795	1.025702328
796	1.025402545
797	1.025156821
798	1.024976835
799	1.024752669
800	1.024535573
801	1.024344591
802	1.024147494
803	1.023923302
804	1.023667865
805	1.023419782
806	1.023230709
807	1.023031278
808	1.022812745
809	1.022533517
810	1.022250681
811	1.021971073
812	1.021769359
813	1.021552179
814	1.021379867
815	1.021190111
816	1.020976536
817	1.02083778
818	1.020672226
819	1.020475579
820	1.020241877
821	1.019966405
822	1.0196813
823	1.019561956
824	1.019413361
825	1.01923226
826	1.018958633
827	1.018798275
828	1.018561908
829	1.018309024
830	1.018082328
831	1.017851869
832	1.017708534
833	1.017612906
834	1.017389816
835	1.017133368
836	1.016926453
837	1.016665357
838	1.016503894
839	1.016227003
840	1.016053172
841	1.015888205
842	1.015659904
843	1.015467269
844	1.015262959
845	1.015054228
846	1.014908722
847	1.014709471
848	1.014470883
849	1.014266472
850	1.014054272
851	1.013821046
852	1.013655329
853	1.013487798
854	1.013327452
855	1.013129167
856	1.012902606
857	1.01270431
858	1.012487982
859	1.012327069
860	1.012147161
861	1.011915187
862	1.011734274
863	1.011642743
864	1.01141954
865	1.01120419
866	1.010973484
867	1.010714871
868	1.010491885
869	1.010242145
870	1.010041826
871	1.009852554
872	1.009669966
873	1.009490759
874	1.009284015
875	1.009144879
876	1.008908402
877	1.008749717
878	1.008515424
879	1.008293536
880	1.008055591
881	1.007849946
882	1.007679527
883	1.00751035
884	1.00729855
885	1.007134261
886	1.006839629
887	1.006538761
888	1.006350909
889	1.006158916
890	1.005920214
891	1.005801884
892	1.005645647
893	1.005527331
894	1.005307752
895	1.00513612
896	1.004923636
897	1.004804816
898	1.004629487
899	1.004448965
900	1.004175459
901	1.003904925
902	1.003740108
903	1.00352549
904	1.003237755
905	1.003079045
906	1.002845539
907	1.002692359
908	1.002536645
909	1.00230984
910	1.002115243
911	1.001977903
912	1.00176671
913	1.001604127
914	1.0014526
915	1.001257355
916	1.000945018
917	1.000725281
918	1.000594319
919	1.000380192
920	1.00021333
921	1.000019012
922	0.9997865834
923	0.9996505871
924	0.9994221544
925	0.9992220124
926	0.999053119
927	0.9988921708
928	0.9987090745
929	0.9985576448
930	0.9983442191
931	0.9981737348
932	0.997945262
933	0.9977336954
934	0.9975862743
935	0.9973417266
936	0.9971014091
937	0.9969213391
938	0.9967433768
939	0.9964681546
940	0.9962787816
941	0.9960160891
942	0.9958261534
943	0.9957118918
944	0.9955969334
945	0.9954675125
946	0.9952491392
947	0.9951233449
948	0.9949087138
949	0.9947040333
950	0.9944271124
951	0.99413142
952	0.9939669666
953	0.9937051692
954	0.9935409195
955	0.9933280409
956	0.9931646279
957	0.9929099973
958	0.9927880451
959	0.9926298633
960	0.9924483926
961	0.9922383073
962	0.9920819018
963	0.9918050203
964	0.9916418859
965	0.9914478272
966	0.9912945319
967	0.9910943153
968	0.9908641814
969	0.9906713566
970	0.990402701
971	0.9901866435
972	0.9900458837
973	0.9898061281
974	0.9896505595
975	0.989475306
976	0.9893298961
977	0.9891438395
978	0.9890068582
979	0.9887696839
980	0.9885610401
981	0.9883690752
982	0.9881981779
983	0.9880405336
984	0.9878794701
985	0.9877153042
986	0.9876051678
987	0.9874073988
988	0.9872623986
989	0.9870524543
990	0.9868593028
991	0.9866905735
992	0.9865796013
993	0.9864544997
994	0.9861760096
995	0.9860300701
996	0.9858148641
997	0.9856819811
998	0.985543287
999	0.9853549564
1000	0.9852247523
1001	0.9850225841
1002	0.9848292051
1003	0.9846515345
1004	0.9845099863
1005	0.9843200151
1006	0.9841428555
1007	0.9838817665
1008	0.9837380552
1009	0.983440948
1010	0.9833291833
1011	0.9831258946
1012	0.982879045
1013	0.9826948205
1014	0.9824572542
1015	0.9823193116
1016	0.9821714854
1017	0.9819375943
1018	0.9817721575
1019	0.9815350297
1020	0.9813473735
1021	0.9812173643
1022	0.9810912808
1023	0.9809449835
1024	0.9807595702
1025	0.9805770047
1026	0.9803924346
1027	0.9802206468
1028	0.9799107453
1029	0.9796757359
1030	0.9794941005
1031	0.9793891173
1032	0.9792120311
1033	0.9791175778
1034	0.9789328954
1035	0.9787373378
1036	0.9785155079
1037	0.9784110635
1038	0.978291672
1039	0.9781354599
1040	0.9779143116
1041	0.9776771112
1042	0.9774724782
1043	0.9772454321
1044	0.9770313849
1045	0.9769160272
1046	0.9767732123
1047	0.9765852345
1048	0.9764431679
1049	0.9763076755
1050	0.9761344095
1051	0.9760087073
1052	0.9758580324
1053	0.9756270258
1054	0.9755017222
1055	0.9753851958
1056	0.9751231442
1057	0.9749860016
1058	0.9748665411
1059	0.9747312028
1060	0.9745191944
1061	0.9743100829
1062	0.9741860066
1063	0.9740646031
1064	0.9738303225
1065	0.9736796378
1066	0.973502443
1067	0.9733332204
1068	0.9730781698
1069	0.9729086777
1070	0.9727103295
1071	0.9725349691
1072	0.9723437167
1073	0.9721952143
1074	0.9720888268
1075	0.9719626718
1076	0.9717658497
1077	0.9716010465
1078	0.971534936
1079	0.9714377128
1080	0.9713658614
1081	0.9711696869
1082	0.9710039474
1083	0.9708378
1084	0.9706313369
1085	0.9704309251
1086	0.9702596318
1087	0.9699929728
1088	0.9698023123
1089	0.9695863117
1090	0.9694533189
1091	0.9692507365
1092	0.9690923781
1093	0.9689272021
1094	0.968735027
1095	0.9685804787
1096	0.968422263
1097	0.9682370402
1098	0.9680317956
1099	0.9678909547
1100	0.9677206038
1101	0.9675589852
1102	0.9674119358
1103	0.9671769923
1104	0.9670103125
1105	0.9668614275
1106	0.966745835
1107	0.9665262537
1108	0.9664008631
1109	0.9662839973
1110	0.9660821211
1111	0.9658665381
1112	0.9656773653
1113	0.9655267189
1114	0.9653911741
1115	0.9652408562
1116	0.9650839151
1117	0.9648772595
1118	0.9646781682
1119	0.9645324377
1120	0.9644071325
1121	0.9641939951
1122	0.9640569588
1123	0.963819132
1124	0.963671281
1125	0.9634701681
1126	0.9633149774
1127	0.9632165713
1128	0.9629669565
1129	0.9628149922
1130	0.9626120424
1131	0.9624375762
1132	0.9622731486
1133	0.9621491152
1134	0.9619681265
1135	0.961792396
1136	0.9616094978
1137	0.9614406624
1138	0.9612653044
1139	0.961133183
1140	0.9610406572
1141	0.9609083052
1142	0.9607574916
1143	0.9606023276
1144	0.960351323
1145	0.9601792145
1146	0.9600664406
1147	0.959925645
1148	0.9598090763
1149	0.9596397998
1150	0.9595059754
1151	0.959358461
1152	0.9591747601
1153	0.9589702688
1154	0.9588545622
1155	0.9587180785
1156	0.9585284339
1157	0.9584203335
1158	0.9582710895
1159	0.9581248777
1160	0.9580567066
1161	0.9578384855
1162	0.9577352534
1163	0.9576033999
1164	0.9574062955
1165	0.9571235682
1166	0.9569223501
1167	0.9567453691
1168	0.9565635344
1169	0.9564444676
1170	0.9562709841
1171	0.9561279759
1172	0.9559038999
1173	0.9557481685
1174	0.9554985071
1175	0.955227625
1176	0.9550558768
1177	0.9549343238
1178	0.954721005
1179	0.9545283033
1180	0.9542584076
1181	0.9539976963
1182	0.9538204947
1183	0.9536797224
1184	0.9534772439
1185	0.9532585104
1186	0.9531530299
1187	0.9530531007
1188	0.9527566883
1189	0.9525115
1190	0.952359567
1191	0.9522298166
1192	0.9520816346
1193	0.9519408862
1194	0.9518294618
1195	0.9516420305
1196	0.9513995711
1197	0.951201932
1198	0.951034911
1199	0.9509055185
1200	0.9507760597
1201	0.9506546776
1202	0.950412828
1203	0.9502246206
1204	0.9500640599
1205	0.9499164474
1206	0.949638107
1207	0.9494801124
1208	0.9492963155
1209	0.9491623468
1210	0.9489867437
1211	0.9488436067
1212	0.9486865946
1213	0.9485236319
1214	0.948311857
1215	0.9481726702
1216	0.9479752819
1217	0.9477128832
1218	0.9475616615
1219	0.9473278081
1220	0.9472077319
1221	0.9470365209
1222	0.9468975809
1223	0.9467056598
1224	0.9465159309
1225	0.9464134264
1226	0.9462399939
1227	0.9460330517
1228	0.9458800893
1229	0.9456717109
1230	0.9455571915
1231	0.9454194643
1232	0.9452020863
1233	0.945046933
1234	0.9449428461
1235	0.9447979664
1236	0.9446530659
1237	0.9444937458
1238	0.9443429396
1239	0.9440809911
1240	0.9439326748
1241	0.9437085793
1242	0.9435747474
1243	0.9434432544
1244	0.9433064058
1245	0.9431879757
1246	0.9430358136
1247	0.9428514493
1248	0.9426942265
1249	0.9425105154
1250	0.9422943353
1251	0.9420999785
1252	0.9418892408
1253	0.9417069009
1254	0.9415459644
1255	0.9414175546
1256	0.9412361229
1257	0.9410817082
1258	0.9409414905
1259	0.9406699489
1260	0.9405578325
1261	0.9403675777
1262	0.9401715112
1263	0.9400302101
1264	0.9398881748
1265	0.9396967743
1266	0.9394824304
1267	0.9392519503
1268	0.9390929056
1269	0.9389824063
1270	0.9387361298
1271	0.9385839127
1272	0.9384193295
1273	0.9382051087
1274	0.9380795452
1275	0.9379324505
1276	0.9377597053
1277	0.9376253178
1278	0.9374400475
1279	0.9372750451
1280	0.9370936206
1281	0.9369563247
1282	0.9368274392
1283	0.9366134975
1284	0.936460547
1285	0.9363148322
1286	0.9361795668
1287	0.9359695162
1288	0.9357948339
1289	0.9356503119
1290	0.9354445548
1291	0.9352811039
1292	0.9351547789
1293	0.9349669614
1294	0.9348596286
1295	0.9346889143
1296	0.9345306624
1297	0.9342592736
1298	0.9341606908
1299	0.9339786206
1300	0.9338165602
1301	0.9336257612
1302	0.9334550142
1303	0.9333137137
1304	0.9331215611
1305	0.9329267235
1306	0.9326518432
1307	0.9325132066
1308	0.9323765057
1309	0.932175389
1310	0.9320375337
1311	0.9319084819
1312	0.9317574167
1313	0.9316721375
1314	0.9315191357
1315	0.9313865121
1316	0.931208216
1317	0.9310994947
1318	0.9309431797
1319	0.9308428168
1320	0.930746729
1321	0.9305929977
1322	0.9304583385
1323	0.9302727874
1324	0.9301710432
1325	0.929969503
1326	0.9297509072
1327	0.9295264027
1328	0.9294257198
1329	0.9292846884
1330	0.929104431
1331	0.9290077213
1332	0.9288347119
1333	0.9286562286
1334	0.9285571005
1335	0.9284765426
1336	0.9284041583
1337	0.9282221635
1338	0.9281105624
1339	0.927979387
1340	0.9278481777
1341	0.92766271
1342	0.9275034686
1343	0.9273057573
1344	0.9271706897
1345	0.9269803573
1346	0.9268205466
1347	0.9266628308
1348	0.9265167621
1349	0.9263163661
1350	0.9262119715
1351	0.926029144
1352	0.925872465
1353	0.9257387216
1354	0.9255946717
1355	0.9254717156
1356	0.9252547753
1357	0.9250907801
1358	0.9249791802
1359	0.9247772697
1360	0.924594445
1361	0.9244527836
1362	0.9242571303
1363	0.924152838
1364	0.9239813782
1365	0.9238059168
1366	0.9237057409
1367	0.9235754156
1368	0.9234769526
1369	0.9233334515
1370	0.9232246169
1371	0.9230374415
1372	0.9228781199
1373	0.9227350122
1374	0.9226068064
1375	0.9224482269
1376	0.9223165474
1377	0.9221995292
1378	0.9220226155
1379	0.9218540052
1380	0.9216416277
1381	0.9214886307
1382	0.9213946042
1383	0.9212500388
1384	0.9210996867
1385	0.9208936686
1386	0.9207543821
1387	0.9205470021
1388	0.9204342208
1389	0.9203153214
1390	0.9202047026
1391	0.9200571462
1392	0.9199735765
1393	0.919833992
1394	0.9197088204
1395	0.9195592658
1396	0.9194152833
1397	0.9192750797
1398	0.9191469264
1399	0.9190078557
1400	0.9188339878
1401	0.9186228271
1402	0.9185316138
1403	0.9183982221
1404	0.9182342237
1405	0.9180800422
1406	0.9180056876
1407	0.9178925239
1408	0.9177223934
1409	0.9175282341
1410	0.9173823341
1411	0.9171917163
1412	0.9170459844
1413	0.9168669274
1414	0.9167493588
1415	0.9165275504
1416	0.9164115545
1417	0.9162261949
1418	0.9160619726
1419	0.9158905098
1420	0.9156376977
1421	0.9154612689
1422	0.9153627229
1423	0.9152466424
1424	0.9150899484
1425	0.9149447846
1426	0.9147580752
1427	0.9146163976
1428	0.9145289344
1429	0.914373427
1430	0.914286041
1431	0.9141794894
1432	0.9140653576
1433	0.9138949521
1434	0.9137542003
1435	0.9136383131
1436	0.9135097197
1437	0.9133530907
1438	0.9131830089
1439	0.9129626034
1440	0.9128110296
1441	0.912635272
1442	0.9125133635
1443	0.912287818
1444	0.912094892
1445	0.9119951446
1446	0.9118479073
1447	0.911706197
1448	0.9114726705
1449	0.9113329272
1450	0.911225353
1451	0.9110601212
1452	0.9108586727
1453	0.910740485
1454	0.9106265642
1455	0.9104948266
1456	0.9103744692
1457	0.9102829974
1458	0.9101368495
1459	0.9100201338
1460	0.9099375567
1461	0.9097521232
1462	0.9096461144
1463	0.9095227266
1464	0.9092945888
1465	0.9091925737
1466	0.9089946564
1467	0.9088288712
1468	0.9086653762
1469	0.9085524966
1470	0.9083991987
1471	0.9082509765
1472	0.9080724018
1473	0.9078644308
1474	0.9077526387
1475	0.9076692471
1476	0.9075427452
1477	0.9073757711
1478	0.9071958764
1479	0.9069781474
1480	0.9067370393
1481	0.9066182484
1482	0.9064564877
1483	0.9062787067
1484	0.9061101678
1485	0.90602181
1486	0.9058434422
1487	0.9056995046
1488	0.9055937642
1489	0.9054118554
1490	0.9052912893
1491	0.9051632947
1492	0.9050473226
1493	0.9048996891
1494	0.9047673657
1495	0.9045460176
1496	0.9043569964
1497	0.9042829016
1498	0.9040741423
1499	0.9039263982
1500	0.9037436162
1501	0.9036092262
1502	0.9034801066
1503	0.9033123152
1504	0.9032437683
1505	0.9031178107
1506	0.9029293164
1507	0.9028142516
1508	0.9025796684
1509	0.9023869842
1510	0.9022365147
1511	0.9021318348
1512	0.9020014763
1513	0.9018132622
1514	0.9016501142
1515	0.9014829942
1516	0.9013400582
1517	0.9011754467
1518	0.9010481117
1519	0.9009605684
1520	0.9008355194
1521	0.9007169981
1522	0.9006037853
1523	0.9004565366
1524	0.9002973942
1525	0.9001052898
1526	0.9000151712
1527	0.8998610143
1528	0.8996476226
1529	0.8995372888
1530	0.8994214139
1531	0.8992216208
1532	0.8990758596
1533	0.8989118139
1534	0.8987239015
1535	0.898574485
1536	0.8984487616
1537	0.8983375503
1538	0.8981523472
1539	0.8980466237
1540	0.8978727393
1541	0.8976416008
1542	0.8974405827
1543	0.8973290835
1544	0.8971815387
1545	0.8970822461
1546	0.8969256901
1547	0.8967138258
1548	0.8966075885
1549	0.8965152622
1550	0.8964054842
1551	0.8962019134
1552	0.8960861819
1553	0.8959371293
1554	0.8957601127
1555	0.8956307698
1556	0.8955031636
1557	0.8954342554
1558	0.8952916176
1559	0.8951450466
1560	0.8950330388
1561	0.8948954918
1562	0.8948183591
1563	0.8945985674
1564	0.8944760503
1565	0.8943689202
1566	0.8941939447
1567	0.8940905645
1568	0.893966473
1569	0.8937691427
1570	0.8935951379
1571	0.8933858198
1572	0.893252181
1573	0.8930845668
1574	0.8929670236
1575	0.8928081817
1576	0.892707805
1577	0.8926130353
1578	0.8925151302
1579	0.8923714765
1580	0.8922578502
1581	0.8921238507
1582	0.8919732292
1583	0.8918556563
1584	0.8917461028
1585	0.8916673337
1586	0.8916134275
1587	0.8914674727
1588	0.8913494567
1589	0.8912401426
1590	0.8911280462
1591	0.8909669068
1592	0.8908246203
1593	0.8906572189
1594	0.8905569325
1595	0.8904352914
